time[s], wr_x[mm], wr_y[mm] 
3.3875,-494.1778,1026.0486
3.3916,-491.2814,1025.2408
3.4019,-488.2473,1024.3420
3.4176,-485.1974,1023.4880
3.4219,-482.2557,1022.6512
3.4316,-479.3021,1021.7177
3.4490,-476.2906,1020.9546
3.4516,-473.3082,1020.1032
3.4618,-470.3201,1019.0183
3.4716,-467.3889,1018.2150
3.4818,-464.5266,1017.2967
3.4917,-461.6570,1016.2185
3.5116,-458.7152,1015.3589
3.5123,-455.8755,1014.4122
3.5219,-453.0426,1013.5150
3.5432,-450.1146,1012.6653
3.5441,-447.3153,1011.6615
3.5516,-444.5414,1010.8675
3.5749,-441.6105,1010.1297
3.5755,-438.7688,1009.1182
3.5818,-435.9066,1008.2143
3.6058,-432.8896,1007.4698
3.6067,-430.0181,1006.5184
3.6116,-427.1909,1005.6169
3.6372,-424.3796,1004.6452
3.6379,-421.6792,1003.6281
3.6418,-418.8998,1002.7099
3.6516,-416.0866,1001.7121
3.6687,-413.2838,1000.6894
3.6716,-410.5295,999.8743
3.6818,-407.8394,998.9283
3.6996,-405.1051,998.0562
3.7017,-402.3230,997.1693
3.7116,-399.5086,996.1812
3.7312,-396.7281,995.2841
3.7318,-393.9328,994.4130
3.7418,-391.1112,993.4728
3.7517,-388.3259,992.4994
3.7619,-385.5990,991.6286
3.7717,-382.9663,990.7277
3.7930,-380.2447,989.7002
3.7936,-377.3794,988.8422
3.8018,-374.5519,987.8939
3.8116,-371.6747,986.8600
3.8311,-368.7054,985.9870
3.8318,-365.9214,985.0587
3.8417,-363.1384,984.1393
3.8608,-360.3060,983.2152
3.8618,-357.5071,982.2415
3.8716,-354.6781,981.2717
3.8932,-351.8052,980.4302
3.8940,-349.0734,979.5896
3.9018,-346.2518,978.4703
3.9117,-343.4189,977.4426
3.9364,-340.6131,976.4719
3.9371,-337.8931,975.3098
3.9418,-334.9221,974.2058
3.9516,-332.1105,973.3452
3.9618,-329.3567,972.2209
3.9717,-326.5505,971.3651
3.9818,-323.8435,970.5435
3.9916,-321.1513,969.4660
4.0019,-318.4214,968.6764
4.0116,-315.7049,967.9399
4.0219,-313.0107,966.7854
4.0317,-310.2172,965.8799
4.0418,-307.4932,964.9951
4.0527,-304.6495,963.7896
4.0616,-301.7404,962.9289
4.0716,-298.9004,962.0904
4.0926,-295.9779,960.9645
4.0933,-293.0842,960.0026
4.1018,-290.2773,959.0430
4.1238,-287.5075,957.9576
4.1248,-284.6735,957.1603
4.1316,-281.7356,956.2130
4.1552,-278.6803,954.9928
4.1559,-275.8418,954.1797
4.1618,-273.0571,953.1828
4.1862,-270.2514,951.9287
4.1871,-267.4460,951.0348
4.1921,-264.7600,949.9823
4.2183,-262.0091,948.8457
4.2190,-259.1684,947.8972
4.2218,-256.3983,946.7649
4.2316,-253.5995,945.7477
4.2494,-250.7418,944.8943
4.2516,-247.8997,943.8435
4.2618,-245.0733,942.8722
4.2808,-242.1415,942.0375
4.2816,-239.3045,940.9798
4.2916,-236.4584,939.9397
4.3124,-233.6068,938.9819
4.3131,-230.9681,937.8472
4.3218,-228.2308,936.7911
4.3435,-225.3795,935.7092
4.3444,-222.6096,934.5305
4.3516,-219.7813,933.4139
4.3740,-216.9606,932.2348
4.3747,-214.2357,931.1658
4.3817,-211.4681,930.2866
4.3915,-208.7593,929.2158
4.4016,-206.0429,928.1968
4.4116,-203.2662,927.3286
4.4217,-200.4782,926.2672
4.4316,-197.7728,925.2350
4.4534,-195.0234,924.1914
4.4541,-192.2213,923.0841
4.4618,-189.4421,921.9789
4.4846,-186.6121,920.9120
4.4854,-183.7383,919.8641
4.4916,-180.9036,918.7011
4.5160,-178.0608,917.6180
4.5168,-175.2841,916.6018
4.5218,-172.5363,915.4972
4.5471,-169.7268,914.4386
4.5480,-166.9714,913.2841
4.5516,-164.2031,912.2089
4.5618,-161.2876,911.2283
4.5784,-158.4801,910.1689
4.5818,-155.3705,909.0487
4.5916,-152.5678,907.9062
4.6098,-149.9099,906.8996
4.6114,-147.3024,905.7053
4.6219,-144.6228,904.5405
4.6410,-141.8696,903.6295
4.6419,-139.1068,902.4428
4.6516,-136.3158,901.1464
4.6726,-133.4971,900.2090
4.6733,-130.7534,898.9843
4.6818,-127.9440,897.7065
4.7035,-125.1566,896.8589
4.7044,-122.4470,895.7207
4.7116,-119.6675,894.5480
4.7350,-116.9141,893.6959
4.7357,-114.3062,892.4026
4.7418,-111.6001,891.1745
4.7663,-108.8547,890.2339
4.7672,-106.0422,888.9673
4.7716,-103.0620,887.7971
4.7818,-100.1720,886.9899
4.7916,-97.4253,885.8572
4.8018,-94.5768,884.6995
4.8116,-91.7525,883.6551
4.8219,-88.9024,882.3489
4.8317,-86.0400,881.3339
4.8420,-83.3555,880.1883
4.8517,-80.7113,878.8697
4.8617,-78.0757,877.9048
4.8716,-75.5856,876.6394
4.8819,-73.0042,875.3340
4.8915,-70.4424,874.3351
4.9017,-67.7432,873.1875
4.9116,-65.0104,872.0096
4.9216,-62.2453,870.9856
4.9316,-59.4780,869.7776
4.9418,-56.6636,868.5937
4.9516,-53.8437,867.4797
4.9863,-48.3077,865.2496
4.9870,-45.6818,864.0814
4.9919,-43.0555,862.9113
5.0015,-40.4198,861.7311
5.0118,-37.7748,860.3010
5.0217,-35.0306,859.1590
5.0318,-32.2987,857.8962
5.0493,-29.6253,856.3918
5.0517,-26.8465,855.3668
5.0615,-24.1186,854.1650
5.0718,-21.4425,852.6334
5.0963,-18.7010,851.6669
5.0972,-16.0958,850.6012
5.1016,-13.6250,849.2598
5.1119,-11.0021,848.2972
5.1277,-8.4181,847.1147
5.1318,-5.7005,845.8149
5.1416,-2.8543,844.8326
5.1591,-0.1251,843.4901
5.1616,2.6705,842.0198
5.1718,5.5223,841.0198
5.1816,8.1453,839.6657
5.1917,10.8563,838.3307
5.2016,13.5545,837.2679
5.2219,16.1316,835.9382
5.2226,18.8392,834.7737
5.2319,21.5591,833.6045
5.2528,24.2114,832.1634
5.2537,27.0295,830.9877
5.2616,29.7470,829.7660
5.2843,32.3483,828.3702
5.2850,35.1051,827.3008
5.2919,37.8711,826.0714
5.3158,40.5681,824.6929
5.3167,43.3996,823.5598
5.3217,46.1372,822.2032
5.3472,48.9218,820.7607
5.3479,51.7562,819.5677
5.3518,54.5463,818.2511
5.3615,57.4081,816.8992
5.3782,60.1875,815.5970
5.3816,62.9015,814.2598
5.3919,65.7417,812.8778
5.4014,68.4209,811.5821
5.4252,71.1361,810.2792
5.4259,73.9097,808.9653
5.4317,76.6764,807.7079
5.4548,79.4615,806.4440
5.4557,82.3870,805.1697
5.4616,85.2373,803.9657
5.4718,88.0427,802.6572
5.4816,90.8765,801.1920
5.4918,93.6496,799.9397
5.5017,96.4388,798.6506
5.5118,99.0760,797.1261
5.5215,101.6340,795.8046
5.5317,104.2100,794.5334
5.5416,106.8082,793.0975
5.5518,109.4842,791.8380
5.5616,112.2187,790.4266
5.5838,114.8820,788.9904
5.5844,117.6187,787.7863
5.5918,120.3715,786.4180
5.6147,123.0473,784.9205
5.6156,125.7806,783.6164
5.6215,128.5113,782.2529
5.6454,131.1949,780.7238
5.6461,133.9994,779.4225
5.6518,136.6777,778.0344
5.6766,139.3391,776.7252
5.6776,142.0930,775.4595
5.6816,144.7710,774.0248
5.6918,147.4355,772.6053
5.7077,150.1861,771.2210
5.7118,152.8686,769.7048
5.7216,155.5307,768.2930
5.7396,158.2257,766.9172
5.7415,160.8642,765.4539
5.7518,163.5214,764.0686
5.7708,166.2155,762.6970
5.7717,168.8384,761.2480
5.7816,171.5448,759.8875
5.8021,174.1867,758.5241
5.8029,176.7761,757.1685
5.8118,179.4327,756.0478
5.8333,182.0112,754.7830
5.8342,184.6345,753.3690
5.8417,187.3513,752.0978
5.8650,189.9965,750.7271
5.8656,192.6139,749.2412
5.8718,195.3172,747.8728
5.8958,197.9472,746.4755
5.8968,200.5376,745.0872
5.9016,203.1524,743.8122
5.9118,205.7113,742.4482
5.9279,208.2152,740.9694
5.9318,210.8191,739.6644
5.9416,213.4497,738.3248
5.9518,216.0867,736.9017
5.9612,218.8732,735.5223
5.9717,221.5806,734.0642
6.0033,226.9663,731.4237
6.0043,229.6083,729.9391
6.0116,232.3349,728.5196
6.0340,235.0886,727.2005
6.0348,237.7974,725.7301
6.0419,240.4736,724.1798
6.0516,243.1902,722.8427
6.0696,245.9373,721.3560
6.0717,248.6216,719.8029
6.0818,251.2874,718.4493
6.1012,253.9561,717.0197
6.1021,256.6963,715.5557
6.1115,259.3593,714.2350
6.1337,262.0707,712.8351
6.1342,264.8523,711.4767
6.1418,267.6184,710.3879
6.1649,270.3219,709.0386
6.1658,273.0293,707.5402
6.1716,275.6718,706.1896
6.1965,278.3070,704.6788
6.1972,280.8335,702.9994
6.2042,283.4687,701.6939
6.2117,286.1043,700.3204
6.2271,288.6661,698.7636
6.2316,291.3012,697.4163
6.2418,293.8244,695.9521
6.2687,296.3070,694.4861
6.2697,298.9619,693.1878
6.2718,301.6136,691.6702
6.2819,304.2451,690.0096
6.3000,307.0371,688.6447
6.3017,309.7530,687.1865
6.3116,312.4301,685.5664
6.3314,315.1966,684.2205
6.3322,317.7158,682.7816
6.3419,320.2653,681.4159
6.3624,322.9136,680.0654
6.3634,325.4100,678.3698
6.3716,328.1438,676.7668
6.3941,330.9160,675.2656
6.3948,333.5363,673.6626
6.4017,336.2759,672.3627
6.4252,338.9452,670.9398
6.4261,341.4739,669.3506
6.4315,344.0816,668.0133
6.4565,346.6946,666.5423
6.4572,349.2319,664.9852
6.4617,351.8695,663.5852
6.4718,354.4633,662.0688
6.4877,357.0541,660.5463
6.4916,359.7619,659.2939
6.5018,362.3641,657.8487
6.5193,364.9624,656.3508
6.5217,367.5903,655.1005
6.5315,370.0857,653.6097
6.5499,372.6771,652.0497
6.5514,375.2631,650.6605
6.5617,377.7517,649.1311
6.5714,380.3602,647.6440
6.5818,383.0524,646.2297
6.5916,385.6406,644.6016
6.6018,388.3040,643.0280
6.6176,390.8773,641.5890
6.6220,393.3710,640.0820
6.6316,395.9676,638.5611
6.6417,398.5271,637.0180
6.6516,401.0276,635.4618
6.6617,403.7207,634.0155
6.6804,406.3978,632.3958
6.6815,408.9946,630.6913
6.6916,411.7617,629.2636
6.7017,414.4975,627.7737
6.7115,417.2892,626.2337
6.7218,420.0506,624.6477
6.7429,422.7357,623.0899
6.7438,425.4526,621.5907
6.7516,427.9792,619.9608
6.7744,430.5895,618.4629
6.7751,433.2021,616.8863
6.7817,435.7777,615.2565
6.8054,438.4025,613.6965
6.8064,441.1340,612.1218
